TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14H
2020-02-04 16:43:29.943127,31.0,32.0,28.0,44.0,27.0,39.0,24.0,47.0,31.0,35.0,28.0,36.0,26.0,41.0,26.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:43:41.295925,31.0,32.0,28.0,44.0,27.0,39.0,24.0,47.0,31.0,34.0,28.0,36.0,26.0,41.0,26.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:43:50.116114,32.0,33.0,28.0,44.0,27.0,39.0,24.0,47.0,31.0,34.0,28.0,36.0,26.0,41.0,26.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:43:56.418848,32.0,33.0,28.0,44.0,27.0,38.0,24.0,47.0,31.0,34.0,28.0,36.0,26.0,41.0,26.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:44:02.717063,32.0,32.0,28.0,44.0,27.0,38.0,24.0,47.0,31.0,34.0,28.0,36.0,26.0,41.0,26.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:44:11.544654,32.0,32.0,28.0,44.0,27.0,38.0,24.0,47.0,31.0,34.0,28.0,35.0,26.0,40.0,26.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:44:17.854600,33.0,32.0,28.0,43.0,27.0,38.0,24.0,47.0,31.0,34.0,28.0,36.0,26.0,40.0,26.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:44:24.166462,33.0,32.0,28.0,43.0,27.0,38.0,24.0,47.0,31.0,33.0,28.0,35.0,26.0,40.0,27.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:44:30.487804,33.0,32.0,28.0,43.0,27.0,38.0,24.0,47.0,31.0,33.0,28.0,35.0,26.0,40.0,27.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:44:39.345616,33.0,32.0,28.0,43.0,27.0,38.0,24.0,47.0,32.0,33.0,28.0,35.0,26.0,40.0,27.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:44:48.166029,33.0,31.0,28.0,43.0,27.0,38.0,25.0,46.0,32.0,33.0,28.0,35.0,26.0,40.0,27.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:44:54.453584,33.0,31.0,28.0,43.0,27.0,38.0,24.0,46.0,32.0,33.0,28.0,34.0,26.0,40.0,27.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:45:03.284988,33.0,30.0,28.0,43.0,27.0,38.0,24.0,46.0,32.0,33.0,28.0,34.0,26.0,40.0,27.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:45:14.639915,33.0,30.0,29.0,44.0,27.0,38.0,24.0,46.0,32.0,33.0,28.0,34.0,26.0,40.0,27.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
