TIME,OUT_T[*K],OUT_H[%],T6[*K],H6[%],T12[*K],H12[%],T18[*K],H18[%],T19[*K],H19[%],T24[*K],H24[%],T25[*K],H25[%],T26[*K],H26[%],,,,
23:41.2,29,30,28,45,28,42,27,45,29,37,27,32,26,40,27,43,,,,
24:15.9,29,30,27,44,28,42,27,46,29,39,27,33,26,40,27,43,,,,
24:51.5,29,30,27,44,28,40,27,46,28,37,27,33,26,41,26,44,,,,
25:35.7,28,30,27,43,27,42,26,47,28,39,26,34,25,41,26,44,,,,
26:13.8,27,29,27,46,27,44,26,48,28,39,27,34,25,41,26,45,,,,
26:45.3,27,30,27,46,27,41,26,48,27,39,26,34,25,42,26,46,,,,
27:14.3,26,31,26,47,27,44,26,48,27,40,26,35,25,42,26,46,,,,
28:12.7,26,32,26,47,27,45,26,49,27,41,26,35,25,42,25,46,,,,
28:41.7,25,33,26,48,26,45,25,48,27,41,25,36,24,42,25,46,,,,
29:12.2,25,33,26,48,26,43,25,48,27,41,25,36,24,43,25,47,,,,
29:51.4,25,34,26,48,26,43,25,49,26,41,25,36,24,43,25,47,,,,
31:13.7,24,36,25,48,26,43,25,50,26,42,25,37,24,44,25,47,,,,
31:47.2,24,36,25,48,25,45,25,46,26,42,25,37,24,43,25,48,,,,
32:16.3,24,36,25,49,25,46,25,50,26,42,25,37,24,44,24,48,,,,
32:46.8,24,37,25,49,25,46,25,50,26,43,24,38,24,44,25,48,,,,
33:20.9,24,37,25,49,25,46,24,51,26,43,24,38,23,44,24,48,,,,
34:02.5,24,37,25,49,25,43,24,51,26,43,24,38,23,44,24,48,,,,
34:40.6,24,38,25,49,25,46,24,47,26,43,24,38,23,44,24,49,,,,
35:12.2,24,38,25,50,25,47,24,51,25,42,24,38,23,45,24,49,,,,
35:46.9,24,38,25,50,25,44,24,47,25,43,24,39,23,45,24,49,,,,
36:19.9,24,39,25,50,25,47,24,51,25,43,24,39,23,45,24,49,,,,
36:54.1,24,39,24,50,24,47,24,51,25,43,24,39,23,45,24,50,,,,
37:29.8,23,39,25,50,24,47,24,48,25,43,24,39,23,45,24,50,,,,
38:02.8,23,39,24,50,24,47,24,51,25,43,24,40,23,45,24,50,,,,
38:39.4,23,39,24,51,24,47,24,51,25,43,24,40,23,46,24,50,,,,
39:11.0,23,39,24,51,24,44,24,52,25,43,24,40,23,46,24,50,,,,
39:47.5,23,39,24,51,24,47,24,48,25,43,24,40,23,46,24,50,,,,
40:19.1,23,39,24,51,24,48,24,52,25,43,24,40,23,46,24,51,,,,
40:56.2,23,39,24,51,24,45,24,52,25,44,24,41,23,46,24,51,,,,
41:28.2,23,40,24,51,24,47,24,52,25,44,24,41,23,46,24,51,,,,
42:01.3,23,40,24,51,24,48,24,52,25,44,24,40,23,46,23,51,,,,
42:37.9,23,40,24,51,24,48,24,52,25,44,24,41,23,46,23,51,,,,
43:12.0,23,40,24,51,24,48,24,48,25,44,24,42,23,47,23,51,,,,
43:47.6,23,40,24,51,24,48,23,52,25,44,23,42,23,47,23,51,,,,
TIME,OUT_T[*K],OUT_H[%],T6[*K],H6[%],T12[*K],H12[%],T18[*K],H18[%],T19[*K],H19[%],T24[*K],H24[%],T25[*K],H25[%],T26[*K],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
28:10.1,22,41,23,51,22,47,22,52,23,45,22,45,22,47,22,51,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
